,school,cwur
1834,University of Slmnc,637
1835,Indin Institute of Technology Roorkee,638
1836,Örebro University,639
1837,Northest Norml University,640
1838,University of Ptrs,641
1839,Beijing University of Chemicl Technology,642
1840,Northern Illinois University,643
1841,Rovir i Virgili University,644
1842,L Trobe University,645
1843,Wrsw University of Technology,646
1844,Binghmton University,647
1845,Shizuok University,648
1846,Hong Kong Bptist University,649
1847,Albny Medicl College,650
1848,Ehime University,651
1849,University of Los Andes (Colombi),652
1850,Polytechnic University of Turin,653
1851,University of Burgundy,654
1852,University of Idho,655
1853,Old Dominion University,656
1854,Ymguchi University,657
1855,Mssey University,658
1856,Donghu University,659
1857,University of the Bleric Islnds,660
1858,Portlnd Stte University,661
1859,Mrche Polytechnic University,662
1860,University of Québec t Montrel,663
1861,"UNESP, São Pulo Stte University",664
1862,Lom Lind University,665
1863,University of Toym,666
1864,University of Debrecen,667
1865,"University of Mine, Orono",668
1866,Grz University of Technology,669
1867,Gifu University,670
1868,University of Jyväskylä,671
1869,University of Pris 13,672
1870,University of Giron,673
1871,Keele University,674
1872,University of Poitiers,675
1873,University of Insubri,676
1874,Wuhn University of Technology,677
1875,University of Pretori,678
1876,Bnrs Hindu University,679
1877,University of L'Aquil,680
1878,University of Alicnte,681
1879,Americn University of Beirut,682
1880,University of Ulster,683
1881,Shnghi University,684
1882,Comenius University in Brtislv,685
1883,University of Vigo,686
1884,"University of Nevd, Ls Vegs",687
1885,Swinburne University of Technology,688
1886,Tilburg University,689
1887,University of Messin,690
1888,Kiserslutern University of Technology,691
1889,University of Kent,692
1890,University of Málg,693
1891,Loughborough University,694
1892,Ntionl Technicl University of Athens,695
1893,Liverpool John Moores University,696
1894,Shrif University of Technology,697
1895,"Birkbeck, University of London",698
1896,"University Frnçois Rbelis, Tours",699
1897,University of Hif,700
1898,Rom Tre University,701
1899,Msryk University,702
1900,University of Slerno,703
1901,King Abdullh University of Science nd Technology,704
1902,Beihng University,705
1903,Fuzhou University,706
1904,Heriot-Wtt University,707
1905,Chin Medicl University (Tiwn),708
1906,University of Cntbri,709
1907,Rochester Institute of Technology,710
1908,Royl College of Surgeons in Irelnd,711
1909,Sn Frncisco Stte University,712
1910,Spporo Medicl University,713
1911,Indin Institute of Technology Knpur,714
1912,Johnnes Kepler University of Linz,715
1913,Czech Technicl University in Prgue,716
1914,Mrquette University,717
1915,Missouri University of Science nd Technology,718
1916,Howrd University,719
1917,Aston University,720
1918,École normle supérieure de Cchn,721
1919,Jichi Medicl University,722
1920,"Rutgers, The Stte University of New Jersey - Newrk",723
1921,"Plcký University, Olomouc",724
1922,Ankr University,725
1923,University of Belgrde,726
1924,Toho University,727
1925,Kyoto Prefecturl University of Medicine,728
1926,Swnse University,729
1927,Université de Nmur,730
1928,University of Szeged,731
1929,Kitsto University,732
1930,Hsselt University,733
1931,University of Córdob (Spin),734
1932,Åbo Akdemi University,735
1933,Tottori University,736
1934,Kindi University,737
1935,"University of Cstill, L Mnch",738
1936,University of Augsburg,739
1937,"Pul Vléry University, Montpellier III",740
1938,University of Mons,741
1939,Istnbul Technicl University,742
1940,"University of Nturl Resources nd Life Sciences, Vienn",743
1941,Ntionl University of L Plt,744
1942,University of Clbri,745
1943,University of Memphis,746
1944,"G. d'Annunzio University, Chieti-Pescr",747
1945,"University of Missouri,St. Louis",748
1946,Beijing Institute of Technology,749
1947,University of Évry Vl d'Essonne,750
1948,University of South Austrli,751
1949,University of Albm in Huntsville,752
1950,University of Slzburg,753
1951,University of Mississippi Medicl Center,754
1952,Ntionl Reserch Nucler University MEPhI,755
1953,Chung-Ang University,756
1954,Kohsiung Medicl University,757
1955,University of Neuchâtel,758
1956,University of Ymnshi,759
1957,Ymgt University,760
1958,New Jersey Institute of Technology,761
1959,Est Crolin University,762
1960,University of Hyogo,763
1961,University of Picrdie Jules Verne,764
1962,University of Slento,765
1963,Northern Arizon University,766
1964,Miguel Hernández University of Elche,767
1965,University of Tehrn,768
1966,Blise Pscl University,769
1967,Yeungnm University,770
1968,Kurume University,771
1969,Institut ntionl des sciences Appliquées de Lyon,772
1970,Sg University,773
1971,Chongqing University,774
1972,Jikei University School of Medicine,775
1973,Second Militry Medicl University,776
1974,Jwhrll Nehru Centre for Advnced Scientific Reserch,777
1975,"University of North Texs, Denton",778
1976,Ege University,779
1977,Mie University,780
1978,École Polytechnique de Montrél,781
1979,AGH University of Science nd Technology,782
1980,University of Electronic Science nd Technology of Chin,783
1981,University of Stirling,784
1982,University of Greifswld,785
1983,Ntionl Polytechnic Institute,786
1984,Jcobs University Bremen,787
1985,Cpitl Medicl University,788
1986,Norwegin University of Life Sciences,789
1987,Michign Technologicl University,790
1988,Vilnius University,791
1989,North Dkot Stte University - Min Cmpus,792
1990,University of Hohenheim,793
1991,University of North Crolin t Chrlotte,794
1992,Zhengzhou University,795
1993,Ciro University,796
1994,University of Cen Lower Normndy,797
1995,Sitm Medicl University,798
1996,University of Murci,799
1997,Show University,800
1998,University of Oldenburg,801
1999,Mgn Græci University of Ctnzro,802
2000,Ntionl Sun Yt-sen University,803
2001,Nnjing University of Science nd Technology,804
2002,University of Concepción,805
2003,Chungbuk Ntionl University,806
2004,Tipei Medicl University,807
2005,Jume I University,808
2006,Bowling Green Stte University,809
2007,Nnjing University of Technology,810
2008,University of New Englnd (Austrli),811
2009,Kngwon Ntionl University,812
2010,Inje University,813
2011,Aberystwyth University,814
2012,"University of Technology, Sydney",815
2013,University of Frnche-Comté,816
2014,University of Sssri,817
2015,Ching Mi University,818
2016,Budpest University of Technology nd Economics,819
2017,University of Mribor,820
2018,University of Brdford,821
2019,University of Perpignn Vi Domiti,822
2020,Florid Institute of Technology,823
2021,University of Brighton,824
2022,University of Msschusetts Boston,825
2023,Rio de Jneiro Stte University,826
2024,Ngoy Institute of Technology,827
2025,Jingnn University,828
2026,Murdoch University,829
2027,"University of Wles, Trinity Sint Dvid",830
2028,University of Rouen,831
2029,The Ctholic University of Americ,832
2030,Wright Stte University - Dyton,833
2031,Dnkook University,834
2032,Clrkson University,835
2033,University of Regin,836
2034,Boğziçi University,837
2035,Kōchi University,838
2036,University of Miyzki,839
2037,University of Electro-Communictions,840
2038,University of Vlldolid,841
2039,Bilkent University,842
2040,Dublin City University,843
2041,University of South Albm,844
2042,Sofi University,845
2043,Ocen University of Chin,846
2044,King Fhd University of Petroleum nd Minerls,847
2045,University of Veterinry Medicine Vienn,848
2046,University of Alclá,849
2047,Hunter College,850
2048,"All Indi Institute of Medicl Sciences, New Delhi",851
2049,Gzi University,852
2050,"Ntionl University of Irelnd, Mynooth",853
2051,Tehrn University of Medicl Sciences,854
2052,University of the Ryukyus,855
2053,Florid Atlntic University,856
2054,University of Siegen,857
2055,Huzhong Agriculturl University,858
2056,University of Angers,859
2057,University of Seoul,860
2058,Brock University,861
2059,Fukuok University,862
2060,Hmmtsu University School of Medicine,863
2061,Nnjing Norml University,864
2062,Ntionl Chung Cheng University,865
2063,Nnjing Agriculturl University,866
2064,University of the Republic (Uruguy),867
2065,Sejong University,868
2066,Mkerere University,869
2067,University of New Brunswick,870
2068,Northestern University (Chin),871
2069,University of Extremdur,872
2070,RMIT University,873
2071,"Royl Veterinry College, University of London",874
2072,Chung Yun Christin University,875
2073,University of Osnbrück,876
2074,Northwest University (Chin),877
2075,Chosun University,878
2076,University of Orléns,879
2077,Jen Monnet University,880
2078,École centrle de Lyon,881
2079,University of Western Sydney,882
2080,Hefei University of Technology,883
2081,University of Msschusetts Lowell,884
2082,Mnchester Metropolitn University,885
2083,Nnjing Medicl University,886
2084,Kyoto Institute of Technology,887
2085,Shnghi Norml University,888
2086,Southwest University,889
2087,Adm Mickiewicz University in Poznń,890
2088,University of Clcutt,891
2089,University of Pécs,892
2090,"Queens College, City University of New York",893
2091,University of Lleid,894
2092,Nnjing University of Aeronutics nd Astronutics,895
2093,University of Western Brittny,896
2094,University of North Crolin t Greensboro,897
2095,Pukyong Ntionl University,898
2096,Fourth Militry Medicl University,899
2097,University of Fukui,900
2098,University of Southern Mississippi,901
2099,University of Mnnheim,902
2100,Shimne University,903
2101,Chin University of Geosciences (Wuhn),904
2102,University of Thessly,905
2103,Oklnd University,906
2104,Wilfrid Lurier University,907
2105,Teikyo University,908
2106,Sitm University,909
2107,Trent University,910
2108,Nicolus Copernicus University in Toruń,911
2109,Trbit Modres University,912
2110,University of North Dkot,913
2111,Isfhn University of Technology,914
2112,Fluminense Federl University,915
2113,Ntionl Tiwn University of Science nd Technology,916
2114,University of Lethbridge,917
2115,Federl University of Snt Ctrin,918
2116,University of Cmerino,919
2117,University of Brsíli,920
2118,University of Wrocłw,921
2119,University of Bsilict,922
2120,Jdvpur University,923
